Category,Score,Tweet
warmth,0.041666666666666664,RT @ClimateCentral: Itâ€™s easy for some people to tune out the impacts of a warming planet. Thatâ€™s why Climate Central works with TV weaâ€¦
musical,0.041666666666666664,RT @ClimateCentral: Itâ€™s easy for some people to tune out the impacts of a warming planet. Thatâ€™s why Climate Central works with TV weaâ€¦
dominant_heirarchical,0.1111111111111111,"RT @SierraClub: The monarch butterly faces 3 interwoven threats: habitat loss, large-scale corporate farming, &amp; climate change. https://t.c…"
royalty,0.05555555555555555,"RT @SierraClub: The monarch butterly faces 3 interwoven threats: habitat loss, large-scale corporate farming, &amp; climate change. https://t.c…"
journalism,0.05555555555555555,"RT @SierraClub: The monarch butterly faces 3 interwoven threats: habitat loss, large-scale corporate farming, &amp; climate change. https://t.c…"
business,0.05555555555555555,"RT @SierraClub: The monarch butterly faces 3 interwoven threats: habitat loss, large-scale corporate farming, &amp; climate change. https://t.c…"
cold,0.05555555555555555,"RT @SierraClub: The monarch butterly faces 3 interwoven threats: habitat loss, large-scale corporate farming, &amp; climate change. https://t.c…"
leader,0.05555555555555555,"RT @SierraClub: The monarch butterly faces 3 interwoven threats: habitat loss, large-scale corporate farming, &amp; climate change. https://t.c…"
weather,0.05555555555555555,"RT @SierraClub: The monarch butterly faces 3 interwoven threats: habitat loss, large-scale corporate farming, &amp; climate change. https://t.c…"
warmth,0.05555555555555555,"RT @SierraClub: The monarch butterly faces 3 interwoven threats: habitat loss, large-scale corporate farming, &amp; climate change. https://t.c…"
economics,0.05555555555555555,"RT @SierraClub: The monarch butterly faces 3 interwoven threats: habitat loss, large-scale corporate farming, &amp; climate change. https://t.c…"
politics,0.05555555555555555,"RT @SierraClub: The monarch butterly faces 3 interwoven threats: habitat loss, large-scale corporate farming, &amp; climate change. https://t.c…"
power,0.05555555555555555,"RT @SierraClub: The monarch butterly faces 3 interwoven threats: habitat loss, large-scale corporate farming, &amp; climate change. https://t.c…"
animal,0.05555555555555555,"RT @SierraClub: The monarch butterly faces 3 interwoven threats: habitat loss, large-scale corporate farming, &amp; climate change. https://t.c…"
law,0.05555555555555555,"RT @SierraClub: The monarch butterly faces 3 interwoven threats: habitat loss, large-scale corporate farming, &amp; climate change. https://t.c…"
government,0.2,@CorySmith1980 long live global warming
home,0.2,@CorySmith1980 long live global warming
warmth,0.2,@CorySmith1980 long live global warming
terrorism,0.2,@CorySmith1980 long live global warming
rural,0.2,@CorySmith1980 long live global warming
money,0.05263157894736842,"RT @climateprogress: An endangered antelope is dying off in huge numbers, &amp; climate change may be contributing https://t.co/c612Zp9DwF http…"
cold,0.05263157894736842,"RT @climateprogress: An endangered antelope is dying off in huge numbers, &amp; climate change may be contributing https://t.co/c612Zp9DwF http…"
suffering,0.05263157894736842,"RT @climateprogress: An endangered antelope is dying off in huge numbers, &amp; climate change may be contributing https://t.co/c612Zp9DwF http…"
death,0.05263157894736842,"RT @climateprogress: An endangered antelope is dying off in huge numbers, &amp; climate change may be contributing https://t.co/c612Zp9DwF http…"
weather,0.05263157894736842,"RT @climateprogress: An endangered antelope is dying off in huge numbers, &amp; climate change may be contributing https://t.co/c612Zp9DwF http…"
warmth,0.05263157894736842,"RT @climateprogress: An endangered antelope is dying off in huge numbers, &amp; climate change may be contributing https://t.co/c612Zp9DwF http…"
shape_and_size,0.05263157894736842,"RT @climateprogress: An endangered antelope is dying off in huge numbers, &amp; climate change may be contributing https://t.co/c612Zp9DwF http…"
animal,0.05263157894736842,"RT @climateprogress: An endangered antelope is dying off in huge numbers, &amp; climate change may be contributing https://t.co/c612Zp9DwF http…"
negative_emotion,0.05263157894736842,"RT @climateprogress: An endangered antelope is dying off in huge numbers, &amp; climate change may be contributing https://t.co/c612Zp9DwF http…"
money,0.09523809523809523,EU to refuse to sign trade deals with countries that don't sign Paris climate change accord: The European Union wilâ€¦ https://t.co/b2hVpJXFvW
cold,0.047619047619047616,EU to refuse to sign trade deals with countries that don't sign Paris climate change accord: The European Union wilâ€¦ https://t.co/b2hVpJXFvW
dispute,0.047619047619047616,EU to refuse to sign trade deals with countries that don't sign Paris climate change accord: The European Union wilâ€¦ https://t.co/b2hVpJXFvW
business,0.047619047619047616,EU to refuse to sign trade deals with countries that don't sign Paris climate change accord: The European Union wilâ€¦ https://t.co/b2hVpJXFvW
weather,0.047619047619047616,EU to refuse to sign trade deals with countries that don't sign Paris climate change accord: The European Union wilâ€¦ https://t.co/b2hVpJXFvW
gain,0.047619047619047616,EU to refuse to sign trade deals with countries that don't sign Paris climate change accord: The European Union wilâ€¦ https://t.co/b2hVpJXFvW
valuable,0.047619047619047616,EU to refuse to sign trade deals with countries that don't sign Paris climate change accord: The European Union wilâ€¦ https://t.co/b2hVpJXFvW
warmth,0.047619047619047616,EU to refuse to sign trade deals with countries that don't sign Paris climate change accord: The European Union wilâ€¦ https://t.co/b2hVpJXFvW
economics,0.047619047619047616,EU to refuse to sign trade deals with countries that don't sign Paris climate change accord: The European Union wilâ€¦ https://t.co/b2hVpJXFvW
negotiate,0.047619047619047616,EU to refuse to sign trade deals with countries that don't sign Paris climate change accord: The European Union wilâ€¦ https://t.co/b2hVpJXFvW
money,0.05263157894736842,RT @MikeBloomberg: .@LeoDiCaprio's #BeforetheFlood on @NatGeoChannel tonight puts focus on reality of climate change &amp; need for action. httÃ¢â‚¬Â¦
sleep,0.05263157894736842,RT @MikeBloomberg: .@LeoDiCaprio's #BeforetheFlood on @NatGeoChannel tonight puts focus on reality of climate change &amp; need for action. httÃ¢â‚¬Â¦
cold,0.05263157894736842,RT @MikeBloomberg: .@LeoDiCaprio's #BeforetheFlood on @NatGeoChannel tonight puts focus on reality of climate change &amp; need for action. httÃ¢â‚¬Â¦
night,0.05263157894736842,RT @MikeBloomberg: .@LeoDiCaprio's #BeforetheFlood on @NatGeoChannel tonight puts focus on reality of climate change &amp; need for action. httÃ¢â‚¬Â¦
business,0.05263157894736842,RT @MikeBloomberg: .@LeoDiCaprio's #BeforetheFlood on @NatGeoChannel tonight puts focus on reality of climate change &amp; need for action. httÃ¢â‚¬Â¦
weather,0.05263157894736842,RT @MikeBloomberg: .@LeoDiCaprio's #BeforetheFlood on @NatGeoChannel tonight puts focus on reality of climate change &amp; need for action. httÃ¢â‚¬Â¦
warmth,0.05263157894736842,RT @MikeBloomberg: .@LeoDiCaprio's #BeforetheFlood on @NatGeoChannel tonight puts focus on reality of climate change &amp; need for action. httÃ¢â‚¬Â¦
giving,0.05263157894736842,RT @MikeBloomberg: .@LeoDiCaprio's #BeforetheFlood on @NatGeoChannel tonight puts focus on reality of climate change &amp; need for action. httÃ¢â‚¬Â¦
money,0.047619047619047616,"RT What is more important Mr President, BS Climate change or TERRORISM? ugh? Once terrorists kill us all, who care… https://t.co/8z2RI9Mc41"
hate,0.047619047619047616,"RT What is more important Mr President, BS Climate change or TERRORISM? ugh? Once terrorists kill us all, who care… https://t.co/8z2RI9Mc41"
aggression,0.047619047619047616,"RT What is more important Mr President, BS Climate change or TERRORISM? ugh? Once terrorists kill us all, who care… https://t.co/8z2RI9Mc41"
crime,0.047619047619047616,"RT What is more important Mr President, BS Climate change or TERRORISM? ugh? Once terrorists kill us all, who care… https://t.co/8z2RI9Mc41"
prison,0.047619047619047616,"RT What is more important Mr President, BS Climate change or TERRORISM? ugh? Once terrorists kill us all, who care… https://t.co/8z2RI9Mc41"
suffering,0.047619047619047616,"RT What is more important Mr President, BS Climate change or TERRORISM? ugh? Once terrorists kill us all, who care… https://t.co/8z2RI9Mc41"
